Codepoint,Property,Description
0000-001F,DISALLOWED,NULL..INFORMATION SEPARATOR ONE
0020,ID_DIS or FREE_PVAL,SPACE
0021-007E,PVALID,EXCLAMATION MARK..TILDE
007F-009F,DISALLOWED,DELETE..APPLICATION PROGRAM COMMAND
00A0-00AC,ID_DIS or FREE_PVAL,NO-BREAK SPACE..NOT SIGN
00AD,DISALLOWED,SOFT HYPHEN
00AE-00B6,ID_DIS or FREE_PVAL,REGISTERED SIGN..PILCROW SIGN
00B7,CONTEXTO,MIDDLE DOT
00B8-00BF,ID_DIS or FREE_PVAL,CEDILLA..INVERTED QUESTION MARK
00C0-00D6,PVALID,LATIN CAPITAL LETTER A WITH GRAVE..LATIN CAPITAL LETTER O WITH DIAERESIS
00D7,ID_DIS or FREE_PVAL,MULTIPLICATION SIGN
00D8-00F6,PVALID,LATIN CAPITAL LETTER O WITH STROKE..LATIN SMALL LETTER O WITH DIAERESIS
00F7,ID_DIS or FREE_PVAL,DIVISION SIGN
00F8-0131,PVALID,LATIN SMALL LETTER O WITH STROKE..LATIN SMALL LETTER DOTLESS I
0132-0133,ID_DIS or FREE_PVAL,LATIN CAPITAL LIGATURE IJ..LATIN SMALL LIGATURE IJ
0134-013E,PVALID,LATIN CAPITAL LETTER J WITH CIRCUMFLEX..LATIN SMALL LETTER L WITH CARON
013F-0140,ID_DIS or FREE_PVAL,LATIN CAPITAL LETTER L WITH MIDDLE DOT..LATIN SMALL LETTER L WITH MIDDLE DOT
0141-0148,PVALID,LATIN CAPITAL LETTER L WITH STROKE..LATIN SMALL LETTER N WITH CARON
0149,ID_DIS or FREE_PVAL,LATIN SMALL LETTER N PRECEDED BY APOSTROPHE
014A-017E,PVALID,LATIN CAPITAL LETTER ENG..LATIN SMALL LETTER Z WITH CARON
017F,ID_DIS or FREE_PVAL,LATIN SMALL LETTER LONG S
0180-01C3,PVALID,LATIN SMALL LETTER B WITH STROKE..LATIN LETTER RETROFLEX CLICK
01C4-01CC,ID_DIS or FREE_PVAL,LATIN CAPITAL LETTER DZ WITH CARON..LATIN SMALL LETTER NJ
01CD-01F0,PVALID,LATIN CAPITAL LETTER A WITH CARON..LATIN SMALL LETTER J WITH CARON
01F1-01F3,ID_DIS or FREE_PVAL,LATIN CAPITAL LETTER DZ..LATIN SMALL LETTER DZ
01F4-02AF,PVALID,LATIN CAPITAL LETTER G WITH ACUTE..LATIN SMALL LETTER TURNED H WITH FISHHOOK AND TAIL
02B0-02B8,ID_DIS or FREE_PVAL,MODIFIER LETTER SMALL H..MODIFIER LETTER SMALL Y
02B9-02C1,PVALID,MODIFIER LETTER PRIME..MODIFIER LETTER REVERSED GLOTTAL STOP
02C2-02C5,ID_DIS or FREE_PVAL,MODIFIER LETTER LEFT ARROWHEAD..MODIFIER LETTER DOWN ARROWHEAD
02C6-02D1,PVALID,MODIFIER LETTER CIRCUMFLEX ACCENT..MODIFIER LETTER HALF TRIANGULAR COLON
02D2-02EB,ID_DIS or FREE_PVAL,MODIFIER LETTER CENTRED RIGHT HALF RING..MODIFIER LETTER YANG DEPARTING TONE MARK
02EC,PVALID,MODIFIER LETTER VOICING
02ED,ID_DIS or FREE_PVAL,MODIFIER LETTER UNASPIRATED
02EE,PVALID,MODIFIER LETTER DOUBLE APOSTROPHE
02EF-02FF,ID_DIS or FREE_PVAL,MODIFIER LETTER LOW DOWN ARROWHEAD..MODIFIER LETTER LOW LEFT ARROW
0300-033F,PVALID,COMBINING GRAVE ACCENT..COMBINING DOUBLE OVERLINE
0340-0341,ID_DIS or FREE_PVAL,COMBINING GRAVE TONE MARK..COMBINING ACUTE TONE MARK
0342,PVALID,COMBINING GREEK PERISPOMENI
0343-0344,ID_DIS or FREE_PVAL,COMBINING GREEK KORONIS..COMBINING GREEK DIALYTIKA TONOS
0345-034E,PVALID,COMBINING GREEK YPOGEGRAMMENI..COMBINING UPWARDS ARROW BELOW
034F,DISALLOWED,COMBINING GRAPHEME JOINER
0350-0373,PVALID,COMBINING RIGHT ARROWHEAD ABOVE..GREEK SMALL LETTER ARCHAIC SAMPI
0374,ID_DIS or FREE_PVAL,GREEK NUMERAL SIGN
0375,CONTEXTO,GREEK LOWER NUMERAL SIGN
0376-0377,PVALID,GREEK CAPITAL LETTER PAMPHYLIAN DIGAMMA..GREEK SMALL LETTER PAMPHYLIAN DIGAMMA
0378-0379,UNASSIGNED,<RESERVED>..<RESERVED>
037A,ID_DIS or FREE_PVAL,GREEK YPOGEGRAMMENI
037B-037D,PVALID,GREEK SMALL REVERSED LUNATE SIGMA SYMBOL..GREEK SMALL REVERSED DOTTED LUNATE SIGMA SYMBOL
037E,ID_DIS or FREE_PVAL,GREEK QUESTION MARK
037F,PVALID,GREEK CAPITAL LETTER YOT
0380-0383,UNASSIGNED,<RESERVED>..<RESERVED>
0384-0385,ID_DIS or FREE_PVAL,GREEK TONOS..GREEK DIALYTIKA TONOS
0386,PVALID,GREEK CAPITAL LETTER ALPHA WITH TONOS
0387,ID_DIS or FREE_PVAL,GREEK ANO TELEIA
0388-038A,PVALID,GREEK CAPITAL LETTER EPSILON WITH TONOS..GREEK CAPITAL LETTER IOTA WITH TONOS
038B,UNASSIGNED,<RESERVED>
038C,PVALID,GREEK CAPITAL LETTER OMICRON WITH TONOS
038D,UNASSIGNED,<RESERVED>
038E-03A1,PVALID,GREEK CAPITAL LETTER UPSILON WITH TONOS..GREEK CAPITAL LETTER RHO
03A2,UNASSIGNED,<RESERVED>
03A3-03CF,PVALID,GREEK CAPITAL LETTER SIGMA..GREEK CAPITAL KAI SYMBOL
03D0-03D6,ID_DIS or FREE_PVAL,GREEK BETA SYMBOL..GREEK PI SYMBOL
03D7-03EF,PVALID,GREEK KAI SYMBOL..COPTIC SMALL LETTER DEI
03F0-03F2,ID_DIS or FREE_PVAL,GREEK KAPPA SYMBOL..GREEK LUNATE SIGMA SYMBOL
03F3,PVALID,GREEK LETTER YOT
03F4-03F6,ID_DIS or FREE_PVAL,GREEK CAPITAL THETA SYMBOL..GREEK REVERSED LUNATE EPSILON SYMBOL
03F7-03F8,PVALID,GREEK CAPITAL LETTER SHO..GREEK SMALL LETTER SHO
03F9,ID_DIS or FREE_PVAL,GREEK CAPITAL LUNATE SIGMA SYMBOL
03FA-0481,PVALID,GREEK CAPITAL LETTER SAN..CYRILLIC SMALL LETTER KOPPA
0482,ID_DIS or FREE_PVAL,CYRILLIC THOUSANDS SIGN
0483-0487,PVALID,COMBINING CYRILLIC TITLO..COMBINING CYRILLIC POKRYTIE
0488-0489,ID_DIS or FREE_PVAL,COMBINING CYRILLIC HUNDRED THOUSANDS SIGN..COMBINING CYRILLIC MILLIONS SIGN
048A-052F,PVALID,CYRILLIC CAPITAL LETTER SHORT I WITH TAIL..CYRILLIC SMALL LETTER EL WITH DESCENDER
0530,UNASSIGNED,<RESERVED>
0531-0556,PVALID,ARMENIAN CAPITAL LETTER AYB..ARMENIAN CAPITAL LETTER FEH
0557-0558,UNASSIGNED,<RESERVED>..<RESERVED>
0559,PVALID,ARMENIAN MODIFIER LETTER LEFT HALF RING
055A-055F,ID_DIS or FREE_PVAL,ARMENIAN APOSTROPHE..ARMENIAN ABBREVIATION MARK
0560-0586,PVALID,ARMENIAN SMALL LETTER TURNED AYB..ARMENIAN SMALL LETTER FEH
0587,ID_DIS or FREE_PVAL,ARMENIAN SMALL LIGATURE ECH YIWN
0588,PVALID,ARMENIAN SMALL LETTER YI WITH STROKE
0589-058A,ID_DIS or FREE_PVAL,ARMENIAN FULL STOP..ARMENIAN HYPHEN
058B-058C,UNASSIGNED,<RESERVED>..<RESERVED>
058D-058F,ID_DIS or FREE_PVAL,RIGHT-FACING ARMENIAN ETERNITY SIGN..ARMENIAN DRAM SIGN
0590,UNASSIGNED,<RESERVED>
0591-05BD,PVALID,HEBREW ACCENT ETNAHTA..HEBREW POINT METEG
05BE,ID_DIS or FREE_PVAL,HEBREW PUNCTUATION MAQAF
05BF,PVALID,HEBREW POINT RAFE
05C0,ID_DIS or FREE_PVAL,HEBREW PUNCTUATION PASEQ
05C1-05C2,PVALID,HEBREW POINT SHIN DOT..HEBREW POINT SIN DOT
05C3,ID_DIS or FREE_PVAL,HEBREW PUNCTUATION SOF PASUQ
05C4-05C5,PVALID,HEBREW MARK UPPER DOT..HEBREW MARK LOWER DOT
05C6,ID_DIS or FREE_PVAL,HEBREW PUNCTUATION NUN HAFUKHA
05C7,PVALID,HEBREW POINT QAMATS QATAN
05C8-05CF,UNASSIGNED,<RESERVED>..<RESERVED>
05D0-05EA,PVALID,HEBREW LETTER ALEF..HEBREW LETTER TAV
05EB-05EE,UNASSIGNED,<RESERVED>..<RESERVED>
05EF-05F2,PVALID,HEBREW YOD TRIANGLE..HEBREW LIGATURE YIDDISH DOUBLE YOD
05F3-05F4,CONTEXTO,HEBREW PUNCTUATION GERESH..HEBREW PUNCTUATION GERSHAYIM
05F5-05FF,UNASSIGNED,<RESERVED>..<RESERVED>
0600-0605,DISALLOWED,ARABIC NUMBER SIGN..ARABIC NUMBER MARK ABOVE
0606-060F,ID_DIS or FREE_PVAL,ARABIC-INDIC CUBE ROOT..ARABIC SIGN MISRA
0610-061A,PVALID,ARABIC SIGN SALLALLAHOU ALAYHE WASSALLAM..ARABIC SMALL KASRA
061B,ID_DIS or FREE_PVAL,ARABIC SEMICOLON
061C,DISALLOWED,ARABIC LETTER MARK
061D-061F,ID_DIS or FREE_PVAL,ARABIC END OF TEXT MARK..ARABIC QUESTION MARK
0620-063F,PVALID,ARABIC LETTER KASHMIRI YEH..ARABIC LETTER FARSI YEH WITH THREE DOTS ABOVE
0640,DISALLOWED,ARABIC TATWEEL
0641-065F,PVALID,ARABIC LETTER FEH..ARABIC WAVY HAMZA BELOW
0660-0669,CONTEXTO,ARABIC-INDIC DIGIT ZERO..ARABIC-INDIC DIGIT NINE
066A-066D,ID_DIS or FREE_PVAL,ARABIC PERCENT SIGN..ARABIC FIVE POINTED STAR
066E-0674,PVALID,ARABIC LETTER DOTLESS BEH..ARABIC LETTER HIGH HAMZA
0675-0678,ID_DIS or FREE_PVAL,ARABIC LETTER HIGH HAMZA ALEF..ARABIC LETTER HIGH HAMZA YEH
0679-06D3,PVALID,ARABIC LETTER TTEH..ARABIC LETTER YEH BARREE WITH HAMZA ABOVE
06D4,ID_DIS or FREE_PVAL,ARABIC FULL STOP
06D5-06DC,PVALID,ARABIC LETTER AE..ARABIC SMALL HIGH SEEN
06DD,DISALLOWED,ARABIC END OF AYAH
06DE,ID_DIS or FREE_PVAL,ARABIC START OF RUB EL HIZB
06DF-06E8,PVALID,ARABIC SMALL HIGH ROUNDED ZERO..ARABIC SMALL HIGH NOON
06E9,ID_DIS or FREE_PVAL,ARABIC PLACE OF SAJDAH
06EA-06EF,PVALID,ARABIC EMPTY CENTRE LOW STOP..ARABIC LETTER REH WITH INVERTED V
06F0-06F9,CONTEXTO,EXTENDED ARABIC-INDIC DIGIT ZERO..EXTENDED ARABIC-INDIC DIGIT NINE
06FA-06FF,PVALID,ARABIC LETTER SHEEN WITH DOT BELOW..ARABIC LETTER HEH WITH INVERTED V
0700-070D,ID_DIS or FREE_PVAL,SYRIAC END OF PARAGRAPH..SYRIAC HARKLEAN ASTERISCUS
070E,UNASSIGNED,<RESERVED>
070F,DISALLOWED,SYRIAC ABBREVIATION MARK
0710-074A,PVALID,SYRIAC LETTER ALAPH..SYRIAC BARREKH
074B-074C,UNASSIGNED,<RESERVED>..<RESERVED>
074D-07B1,PVALID,SYRIAC LETTER SOGDIAN ZHAIN..THAANA LETTER NAA
07B2-07BF,UNASSIGNED,<RESERVED>..<RESERVED>
07C0-07F5,PVALID,NKO DIGIT ZERO..NKO LOW TONE APOSTROPHE
07F6-07F9,ID_DIS or FREE_PVAL,NKO SYMBOL OO DENNEN..NKO EXCLAMATION MARK
07FA,DISALLOWED,NKO LAJANYALAN
07FB-07FC,UNASSIGNED,<RESERVED>..<RESERVED>
07FD,PVALID,NKO DANTAYALAN
07FE-07FF,ID_DIS or FREE_PVAL,NKO DOROME SIGN..NKO TAMAN SIGN
0800-082D,PVALID,SAMARITAN LETTER ALAF..SAMARITAN MARK NEQUDAA
082E-082F,UNASSIGNED,<RESERVED>..<RESERVED>
0830-083E,ID_DIS or FREE_PVAL,SAMARITAN PUNCTUATION NEQUDAA..SAMARITAN PUNCTUATION ANNAAU
083F,UNASSIGNED,<RESERVED>
0840-085B,PVALID,MANDAIC LETTER HALQA..MANDAIC GEMINATION MARK
085C-085D,UNASSIGNED,<RESERVED>..<RESERVED>
085E,ID_DIS or FREE_PVAL,MANDAIC PUNCTUATION
085F,UNASSIGNED,<RESERVED>
0860-086A,PVALID,SYRIAC LETTER MALAYALAM NGA..SYRIAC LETTER MALAYALAM SSA
086B-086F,UNASSIGNED,<RESERVED>..<RESERVED>
0870-0887,PVALID,ARABIC LETTER ALEF WITH ATTACHED FATHA..ARABIC BASELINE ROUND DOT
0888,ID_DIS or FREE_PVAL,ARABIC RAISED ROUND DOT
0889-088F,PVALID,ARABIC LETTER NOON WITH INVERTED SMALL V..ARABIC LETTER NOON WITH RING ABOVE
0890-0891,DISALLOWED,ARABIC POUND MARK ABOVE..ARABIC PIASTRE MARK ABOVE
0892-0896,UNASSIGNED,<RESERVED>..<RESERVED>
0897-08E1,PVALID,ARABIC PEPET..ARABIC SMALL HIGH SIGN SAFHA
08E2,DISALLOWED,ARABIC DISPUTED END OF AYAH
08E3-0957,PVALID,ARABIC TURNED DAMMA BELOW..DEVANAGARI VOWEL SIGN UUE
0958-095F,ID_DIS or FREE_PVAL,DEVANAGARI LETTER QA..DEVANAGARI LETTER YYA
0960-0963,PVALID,DEVANAGARI LETTER VOCALIC RR..DEVANAGARI VOWEL SIGN VOCALIC LL
0964-0965,ID_DIS or FREE_PVAL,DEVANAGARI DANDA..DEVANAGARI DOUBLE DANDA
0966-096F,PVALID,DEVANAGARI DIGIT ZERO..DEVANAGARI DIGIT NINE
0970,ID_DIS or FREE_PVAL,DEVANAGARI ABBREVIATION SIGN
0971-0983,PVALID,DEVANAGARI SIGN HIGH SPACING DOT..BENGALI SIGN VISARGA
0984,UNASSIGNED,<RESERVED>
0985-098C,PVALID,BENGALI LETTER A..BENGALI LETTER VOCALIC L
098D-098E,UNASSIGNED,<RESERVED>..<RESERVED>
098F-0990,PVALID,BENGALI LETTER E..BENGALI LETTER AI
0991-0992,UNASSIGNED,<RESERVED>..<RESERVED>
0993-09A8,PVALID,BENGALI LETTER O..BENGALI LETTER NA
09A9,UNASSIGNED,<RESERVED>
09AA-09B0,PVALID,BENGALI LETTER PA..BENGALI LETTER RA
09B1,UNASSIGNED,<RESERVED>
09B2,PVALID,BENGALI LETTER LA
09B3-09B5,UNASSIGNED,<RESERVED>..<RESERVED>
09B6-09B9,PVALID,BENGALI LETTER SHA..BENGALI LETTER HA
09BA-09BB,UNASSIGNED,<RESERVED>..<RESERVED>
09BC-09C4,PVALID,BENGALI SIGN NUKTA..BENGALI VOWEL SIGN VOCALIC RR
09C5-09C6,UNASSIGNED,<RESERVED>..<RESERVED>
09C7-09C8,PVALID,BENGALI VOWEL SIGN E..BENGALI VOWEL SIGN AI
09C9-09CA,UNASSIGNED,<RESERVED>..<RESERVED>
09CB-09CE,PVALID,BENGALI VOWEL SIGN O..BENGALI LETTER KHANDA TA
09CF-09D6,UNASSIGNED,<RESERVED>..<RESERVED>
09D7,PVALID,BENGALI AU LENGTH MARK
09D8-09DB,UNASSIGNED,<RESERVED>..<RESERVED>
09DC-09DD,ID_DIS or FREE_PVAL,BENGALI LETTER RRA..BENGALI LETTER RHA
09DE,UNASSIGNED,<RESERVED>
09DF,ID_DIS or FREE_PVAL,BENGALI LETTER YYA
09E0-09E3,PVALID,BENGALI LETTER VOCALIC RR..BENGALI VOWEL SIGN VOCALIC LL
09E4-09E5,UNASSIGNED,<RESERVED>..<RESERVED>
09E6-09F1,PVALID,BENGALI DIGIT ZERO..BENGALI LETTER RA WITH LOWER DIAGONAL
09F2-09FB,ID_DIS or FREE_PVAL,BENGALI RUPEE MARK..BENGALI GANDA MARK
09FC,PVALID,BENGALI LETTER VEDIC ANUSVARA
09FD,ID_DIS or FREE_PVAL,BENGALI ABBREVIATION SIGN
09FE,PVALID,BENGALI SANDHI MARK
09FF-0A00,UNASSIGNED,<RESERVED>..<RESERVED>
0A01-0A03,PVALID,GURMUKHI SIGN ADAK BINDI..GURMUKHI SIGN VISARGA
0A04,UNASSIGNED,<RESERVED>
0A05-0A0A,PVALID,GURMUKHI LETTER A..GURMUKHI LETTER UU
0A0B-0A0E,UNASSIGNED,<RESERVED>..<RESERVED>
0A0F-0A10,PVALID,GURMUKHI LETTER EE..GURMUKHI LETTER AI
0A11-0A12,UNASSIGNED,<RESERVED>..<RESERVED>
0A13-0A28,PVALID,GURMUKHI LETTER OO..GURMUKHI LETTER NA
0A29,UNASSIGNED,<RESERVED>
0A2A-0A30,PVALID,GURMUKHI LETTER PA..GURMUKHI LETTER RA
0A31,UNASSIGNED,<RESERVED>
0A32,PVALID,GURMUKHI LETTER LA
0A33,ID_DIS or FREE_PVAL,GURMUKHI LETTER LLA
0A34,UNASSIGNED,<RESERVED>
0A35,PVALID,GURMUKHI LETTER VA
0A36,ID_DIS or FREE_PVAL,GURMUKHI LETTER SHA
0A37,UNASSIGNED,<RESERVED>
0A38-0A39,PVALID,GURMUKHI LETTER SA..GURMUKHI LETTER HA
0A3A-0A3B,UNASSIGNED,<RESERVED>..<RESERVED>
0A3C,PVALID,GURMUKHI SIGN NUKTA
0A3D,UNASSIGNED,<RESERVED>
0A3E-0A42,PVALID,GURMUKHI VOWEL SIGN AA..GURMUKHI VOWEL SIGN UU
0A43-0A46,UNASSIGNED,<RESERVED>..<RESERVED>
0A47-0A48,PVALID,GURMUKHI VOWEL SIGN EE..GURMUKHI VOWEL SIGN AI
0A49-0A4A,UNASSIGNED,<RESERVED>..<RESERVED>
0A4B-0A4D,PVALID,GURMUKHI VOWEL SIGN OO..GURMUKHI SIGN VIRAMA
0A4E-0A50,UNASSIGNED,<RESERVED>..<RESERVED>
0A51,PVALID,GURMUKHI SIGN UDAAT
0A52-0A58,UNASSIGNED,<RESERVED>..<RESERVED>
0A59-0A5B,ID_DIS or FREE_PVAL,GURMUKHI LETTER KHHA..GURMUKHI LETTER ZA
0A5C,PVALID,GURMUKHI LETTER RRA
0A5D,UNASSIGNED,<RESERVED>
0A5E,ID_DIS or FREE_PVAL,GURMUKHI LETTER FA
0A5F-0A65,UNASSIGNED,<RESERVED>..<RESERVED>
0A66-0A75,PVALID,GURMUKHI DIGIT ZERO..GURMUKHI SIGN YAKASH
0A76,ID_DIS or FREE_PVAL,GURMUKHI ABBREVIATION SIGN
0A77-0A80,UNASSIGNED,<RESERVED>..<RESERVED>
0A81-0A83,PVALID,GUJARATI SIGN CANDRABINDU..GUJARATI SIGN VISARGA
0A84,UNASSIGNED,<RESERVED>
0A85-0A8D,PVALID,GUJARATI LETTER A..GUJARATI VOWEL CANDRA E
0A8E,UNASSIGNED,<RESERVED>
0A8F-0A91,PVALID,GUJARATI LETTER E..GUJARATI VOWEL CANDRA O
0A92,UNASSIGNED,<RESERVED>
0A93-0AA8,PVALID,GUJARATI LETTER O..GUJARATI LETTER NA
0AA9,UNASSIGNED,<RESERVED>
0AAA-0AB0,PVALID,GUJARATI LETTER PA..GUJARATI LETTER RA
0AB1,UNASSIGNED,<RESERVED>
0AB2-0AB3,PVALID,GUJARATI LETTER LA..GUJARATI LETTER LLA
0AB4,UNASSIGNED,<RESERVED>
0AB5-0AB9,PVALID,GUJARATI LETTER VA..GUJARATI LETTER HA
0ABA-0ABB,UNASSIGNED,<RESERVED>..<RESERVED>
0ABC-0AC5,PVALID,GUJARATI SIGN NUKTA..GUJARATI VOWEL SIGN CANDRA E
0AC6,UNASSIGNED,<RESERVED>
0AC7-0AC9,PVALID,GUJARATI VOWEL SIGN E..GUJARATI VOWEL SIGN CANDRA O
0ACA,UNASSIGNED,<RESERVED>
0ACB-0ACD,PVALID,GUJARATI VOWEL SIGN O..GUJARATI SIGN VIRAMA
0ACE-0ACF,UNASSIGNED,<RESERVED>..<RESERVED>
0AD0,PVALID,GUJARATI OM
0AD1-0ADF,UNASSIGNED,<RESERVED>..<RESERVED>
0AE0-0AE3,PVALID,GUJARATI LETTER VOCALIC RR..GUJARATI VOWEL SIGN VOCALIC LL
0AE4-0AE5,UNASSIGNED,<RESERVED>..<RESERVED>
0AE6-0AEF,PVALID,GUJARATI DIGIT ZERO..GUJARATI DIGIT NINE
0AF0-0AF1,ID_DIS or FREE_PVAL,GUJARATI ABBREVIATION SIGN..GUJARATI RUPEE SIGN
0AF2-0AF8,UNASSIGNED,<RESERVED>..<RESERVED>
0AF9-0AFF,PVALID,GUJARATI LETTER ZHA..GUJARATI SIGN TWO-CIRCLE NUKTA ABOVE
0B00,UNASSIGNED,<RESERVED>
0B01-0B03,PVALID,ORIYA SIGN CANDRABINDU..ORIYA SIGN VISARGA
0B04,UNASSIGNED,<RESERVED>
0B05-0B0C,PVALID,ORIYA LETTER A..ORIYA LETTER VOCALIC L
0B0D-0B0E,UNASSIGNED,<RESERVED>..<RESERVED>
0B0F-0B10,PVALID,ORIYA LETTER E..ORIYA LETTER AI
0B11-0B12,UNASSIGNED,<RESERVED>..<RESERVED>
0B13-0B28,PVALID,ORIYA LETTER O..ORIYA LETTER NA
0B29,UNASSIGNED,<RESERVED>
0B2A-0B30,PVALID,ORIYA LETTER PA..ORIYA LETTER RA
0B31,UNASSIGNED,<RESERVED>
0B32-0B33,PVALID,ORIYA LETTER LA..ORIYA LETTER LLA
0B34,UNASSIGNED,<RESERVED>
0B35-0B39,PVALID,ORIYA LETTER VA..ORIYA LETTER HA
0B3A-0B3B,UNASSIGNED,<RESERVED>..<RESERVED>
0B3C-0B44,PVALID,ORIYA SIGN NUKTA..ORIYA VOWEL SIGN VOCALIC RR
0B45-0B46,UNASSIGNED,<RESERVED>..<RESERVED>
0B47-0B48,PVALID,ORIYA VOWEL SIGN E..ORIYA VOWEL SIGN AI
0B49-0B4A,UNASSIGNED,<RESERVED>..<RESERVED>
0B4B-0B4D,PVALID,ORIYA VOWEL SIGN O..ORIYA SIGN VIRAMA
0B4E-0B54,UNASSIGNED,<RESERVED>..<RESERVED>
0B55-0B57,PVALID,ORIYA SIGN OVERLINE..ORIYA AU LENGTH MARK
0B58-0B5B,UNASSIGNED,<RESERVED>..<RESERVED>
0B5C-0B5D,ID_DIS or FREE_PVAL,ORIYA LETTER RRA..ORIYA LETTER RHA
0B5E,UNASSIGNED,<RESERVED>
0B5F-0B63,PVALID,ORIYA LETTER YYA..ORIYA VOWEL SIGN VOCALIC LL
0B64-0B65,UNASSIGNED,<RESERVED>..<RESERVED>
0B66-0B6F,PVALID,ORIYA DIGIT ZERO..ORIYA DIGIT NINE
0B70,ID_DIS or FREE_PVAL,ORIYA ISSHAR
0B71,PVALID,ORIYA LETTER WA
0B72-0B77,ID_DIS or FREE_PVAL,ORIYA FRACTION ONE QUARTER..ORIYA FRACTION THREE SIXTEENTHS
0B78-0B81,UNASSIGNED,<RESERVED>..<RESERVED>
0B82-0B83,PVALID,TAMIL SIGN ANUSVARA..TAMIL SIGN VISARGA
0B84,UNASSIGNED,<RESERVED>
0B85-0B8A,PVALID,TAMIL LETTER A..TAMIL LETTER UU
0B8B-0B8D,UNASSIGNED,<RESERVED>..<RESERVED>
0B8E-0B90,PVALID,TAMIL LETTER E..TAMIL LETTER AI
0B91,UNASSIGNED,<RESERVED>
0B92-0B95,PVALID,TAMIL LETTER O..TAMIL LETTER KA
0B96-0B98,UNASSIGNED,<RESERVED>..<RESERVED>
0B99-0B9A,PVALID,TAMIL LETTER NGA..TAMIL LETTER CA
0B9B,UNASSIGNED,<RESERVED>
0B9C,PVALID,TAMIL LETTER JA
0B9D,UNASSIGNED,<RESERVED>
0B9E-0B9F,PVALID,TAMIL LETTER NYA..TAMIL LETTER TTA
0BA0-0BA2,UNASSIGNED,<RESERVED>..<RESERVED>
0BA3-0BA4,PVALID,TAMIL LETTER NNA..TAMIL LETTER TA
0BA5-0BA7,UNASSIGNED,<RESERVED>..<RESERVED>
0BA8-0BAA,PVALID,TAMIL LETTER NA..TAMIL LETTER PA
0BAB-0BAD,UNASSIGNED,<RESERVED>..<RESERVED>
0BAE-0BB9,PVALID,TAMIL LETTER MA..TAMIL LETTER HA
0BBA-0BBD,UNASSIGNED,<RESERVED>..<RESERVED>
0BBE-0BC2,PVALID,TAMIL VOWEL SIGN AA..TAMIL VOWEL SIGN UU
0BC3-0BC5,UNASSIGNED,<RESERVED>..<RESERVED>
0BC6-0BC8,PVALID,TAMIL VOWEL SIGN E..TAMIL VOWEL SIGN AI
0BC9,UNASSIGNED,<RESERVED>
0BCA-0BCD,PVALID,TAMIL VOWEL SIGN O..TAMIL SIGN VIRAMA
0BCE-0BCF,UNASSIGNED,<RESERVED>..<RESERVED>
0BD0,PVALID,TAMIL OM
0BD1-0BD6,UNASSIGNED,<RESERVED>..<RESERVED>
0BD7,PVALID,TAMIL AU LENGTH MARK
0BD8-0BE5,UNASSIGNED,<RESERVED>..<RESERVED>
0BE6-0BEF,PVALID,TAMIL DIGIT ZERO..TAMIL DIGIT NINE
0BF0-0BFA,ID_DIS or FREE_PVAL,TAMIL NUMBER TEN..TAMIL NUMBER SIGN
0BFB-0BFF,UNASSIGNED,<RESERVED>..<RESERVED>
0C00-0C0C,PVALID,TELUGU SIGN COMBINING CANDRABINDU ABOVE..TELUGU LETTER VOCALIC L
0C0D,UNASSIGNED,<RESERVED>
0C0E-0C10,PVALID,TELUGU LETTER E..TELUGU LETTER AI
0C11,UNASSIGNED,<RESERVED>
0C12-0C28,PVALID,TELUGU LETTER O..TELUGU LETTER NA
0C29,UNASSIGNED,<RESERVED>
0C2A-0C39,PVALID,TELUGU LETTER PA..TELUGU LETTER HA
0C3A-0C3B,UNASSIGNED,<RESERVED>..<RESERVED>
0C3C-0C44,PVALID,TELUGU SIGN NUKTA..TELUGU VOWEL SIGN VOCALIC RR
0C45,UNASSIGNED,<RESERVED>
0C46-0C48,PVALID,TELUGU VOWEL SIGN E..TELUGU VOWEL SIGN AI
0C49,UNASSIGNED,<RESERVED>
0C4A-0C4D,PVALID,TELUGU VOWEL SIGN O..TELUGU SIGN VIRAMA
0C4E-0C54,UNASSIGNED,<RESERVED>..<RESERVED>
0C55-0C56,PVALID,TELUGU LENGTH MARK..TELUGU AI LENGTH MARK
0C57,UNASSIGNED,<RESERVED>
0C58-0C5A,PVALID,TELUGU LETTER TSA..TELUGU LETTER RRRA
0C5B,UNASSIGNED,<RESERVED>
0C5C-0C5D,PVALID,TELUGU ARCHAIC SHRII..TELUGU LETTER NAKAARA POLLU
0C5E-0C5F,UNASSIGNED,<RESERVED>..<RESERVED>
0C60-0C63,PVALID,TELUGU LETTER VOCALIC RR..TELUGU VOWEL SIGN VOCALIC LL
0C64-0C65,UNASSIGNED,<RESERVED>..<RESERVED>
0C66-0C6F,PVALID,TELUGU DIGIT ZERO..TELUGU DIGIT NINE
0C70-0C76,UNASSIGNED,<RESERVED>..<RESERVED>
0C77-0C7F,ID_DIS or FREE_PVAL,TELUGU SIGN SIDDHAM..TELUGU SIGN TUUMU
0C80-0C83,PVALID,KANNADA SIGN SPACING CANDRABINDU..KANNADA SIGN VISARGA
0C84,ID_DIS or FREE_PVAL,KANNADA SIGN SIDDHAM
0C85-0C8C,PVALID,KANNADA LETTER A..KANNADA LETTER VOCALIC L
0C8D,UNASSIGNED,<RESERVED>
0C8E-0C90,PVALID,KANNADA LETTER E..KANNADA LETTER AI
0C91,UNASSIGNED,<RESERVED>
